Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CAP-22P-1%-50V-C0G-0402_001","C_0402_1005Metric",31.432500,6.350000,90.000000,top
"C2","CAP-22P-1%-50V-C0G-0402_001","C_0402_1005Metric",36.512500,6.350000,90.000000,top
"C3","CAP-2.2U-10%-10V-X5R-0402_002","C_0402_1005Metric",10.230000,17.050000,270.000000,top
"C4","CAP-2.2U-10%-10V-X5R-0402_002","C_0402_1005Metric",15.190000,17.020000,270.000000,top
"C5","CAP-100N-10%-16V-X7R-0402_001","C_0402_1005Metric",28.780000,18.650000,180.000000,top
"C6","CAP-100N-10%-16V-X7R-0402_001","C_0402_1005Metric",34.970000,9.500000,0.000000,top
"C7","CAP-100N-10%-16V-X7R-0402_001","C_0402_1005Metric",29.405000,6.050000,270.000000,top
"C8","CAP-100N-10%-16V-X7R-0402_001","C_0402_1005Metric",28.230000,6.050000,270.000000,top
"C9","CAP-100N-10%-16V-X7R-0402_001","C_0402_1005Metric",21.730000,13.250000,180.000000,top
"C10","CAP-22P-1%-50V-C0G-0402_001","C_0402_1005Metric",37.528500,6.350000,90.000000,top
"C11","CAP-22P-1%-50V-C0G-0402_001","C_0402_1005Metric",42.980000,7.620000,90.000000,top
"C12","CAP-100N-10%-16V-X7R-0402_001","C_0402_1005Metric",45.339000,14.800000,180.000000,top
"D1","LED-RED-0603_001","LED_0603_1608Metric",37.980000,13.950000,180.000000,top
"D2","LED-BLUE-0603_001","LED_0603_1608Metric",17.280000,19.350000,180.000000,top
"FID1","FID_001","Fiducial_0.5mm_Mask1mm",1.270000,6.350000,0.000000,top
"FID2","FID_001","Fiducial_0.5mm_Mask1mm",48.260000,5.334000,0.000000,top
"FID3","FID_001","Fiducial_0.5mm_Mask1mm",11.811000,20.129500,0.000000,top
"FID4","FID_001","Fiducial_0.5mm_Mask1mm",36.703000,20.574000,0.000000,top
"J1","USB-MICRO-B_001","AMPHENOL_10118194-0001LF",1.480000,12.700000,270.000000,top
"R1","RES-33K-1%-0.063W-0402_001","R_0402_1005Metric",4.445000,17.780000,180.000000,top
"R2","RES-1K-1%-0.063W-0402_001","R_0402_1005Metric",37.680000,15.250000,0.000000,top
"R3","RES-1K-1%-0.063W-0402_001","R_0402_1005Metric",15.240000,19.360000,90.000000,top
"SW1","SW-PUSH-4.6X2.8-LP-SMD_001","CK-KMR2",44.905000,11.450000,270.000000,top
"U1","STM32F070CB","LQFP-48_7x7mm_P0.5mm",28.778200,12.700000,135.000000,top
"U2","MIC5504-3.3YM5","SOT-23-5",12.680000,16.550000,0.000000,top
"Y1","OSC-32.768K-20PPM-12.5P-2P-3215_001","Oscillator_SMD_2Pin_3.2x1.5mm",33.972500,6.159500,0.000000,top
"Y2","OSC-8M-10PPM-20P-4P-3225_002","Crystal_SMD_3225-4Pin_3.2x2.5mm",40.195500,7.112000,180.000000,top
